subid,trial,target,leftpic,rightpic,chosenside,chosenpic,correct,date,time,rt
4,10,H1,D1,H1,R,H1,Y,11/14/2018,11:05:04,7027
4,11,C1,C1,A1,L,C1,Y,11/14/2018,11:05:05,5686
4,12,K1,K1,B1,L,K1,Y,11/14/2018,11:05:04,5335
4,13,A1,H1,A1,R,A1,Y,11/14/2018,11:05:05,4683
4,14,I1,I1,E1,L,I1,Y,11/14/2018,11:05:04,5799
4,15,F1,F1,B1,L,F1,Y,11/14/2018,11:05:05,13152
4,16,G1,G1,E1,L,G1,Y,11/14/2018,11:05:04,12255
4,17,B1,B1,D1,L,B1,Y,11/14/2018,11:05:05,4672
4,18,D1,H1,D1,R,D1,Y,11/14/2018,11:05:04,3501
4,19,E1,A1,E1,R,E1,Y,11/14/2018,11:05:05,5644
4,20,K1,K1,D1,L,K1,Y,11/14/2018,11:05:05,9186
4,21,C1,H1,C1,R,C1,Y,11/14/2018,11:05:04,8379
4,22,D1,F1,D1,L,F1,N,11/14/2018,11:05:05,4150
4,23,A1,K1,A1,R,A1,Y,11/14/2018,11:05:04,16393
4,24,H1,H1,A1,L,H1,Y,11/14/2018,11:05:05,6581
4,25,F1,F1,C1,L,F1,Y,11/14/2018,11:05:04,7979
4,26,I1,I1,C1,L,I1,Y,11/14/2018,11:05:05,10152
4,27,B1,B1,K1,L,B1,Y,11/14/2018,11:05:04,11079
4,28,G1,D1,G1,R,G1,Y,11/14/2018,11:05:05,9106
4,29,E1,H1,E1,R,E1,Y,11/14/2018,11:05:04,4667
4,30,H1,C1,H1,R,H1,Y,11/14/2018,11:05:04,13601
4,31,F1,F1,G1,L,F1,Y,11/14/2018,11:05:05,8165
4,32,G1,G1,C1,L,G1,Y,11/14/2018,11:05:04,6773
4,33,A1,D1,A1,R,A1,Y,11/14/2018,11:05:05,6053
4,34,K1,A1,K1,R,K1,Y,11/14/2018,11:05:04,9976
4,35,C1,C1,E1,L,C1,Y,11/14/2018,11:05:05,7310
4,36,D1,D1,K1,L,D1,Y,11/14/2018,11:05:04,6787
4,37,E1,I1,E1,R,E1,Y,11/14/2018,11:05:05,3643
4,38,I1,I1,A1,L,I1,Y,11/14/2018,11:05:04,19355
4,39,B1,B1,I1,L,B1,Y,11/14/2018,11:05:05,10501
5,0,apple,apple,banana,L,apple,Y,11/17/2018,13:19:36,4465
5,1,artichoke,artichoke,onion,R,onion,N,11/17/2018,13:19:11,53070
5,2,onion,onion,artichoke,L,onion,Y,11/17/2018,13:19:36,39389
5,3,apple,apple,banana,R,banana,N,11/17/2018,13:19:11,34213
5,4,artichoke,artichoke,onion,L,artichoke,Y,11/17/2018,13:19:36,35131
5,5,onion,onion,artichoke,L,onion,Y,11/17/2018,13:19:11,54242
5,0,C1,C1,E1,R,E1,N,11/17/2018,13:19:36,5379
5,1,F1,B1,F1,L,B1,N,11/17/2018,13:19:11,38274
5,2,K1,K1,D1,L,K1,Y,11/17/2018,13:19:36,46724
5,3,B1,I1,B1,R,B1,Y,11/17/2018,13:19:11,35010
5,4,A1,A1,D1,L,A1,Y,11/17/2018,13:19:36,34519
5,5,H1,E1,H1,R,H1,Y,11/17/2018,13:19:11,30400
5,6,I1,I1,E1,L,I1,Y,11/17/2018,13:19:36,28641
5,7,G1,G1,C1,R,C1,N,11/17/2018,13:19:11,47935
5,8,E1,E1,H1,R,H1,N,11/17/2018,13:19:36,10503
5,9,D1,D1,E1,L,D1,Y,11/17/2018,13:19:11,20147
5,10,C1,C1,H1,L,C1,Y,11/17/2018,13:19:11,17303
5,11,D1,D1,H1,L,D1,Y,11/17/2018,13:19:36,30268
5,12,E1,A1,E1,R,E1,Y,11/17/2018,13:19:11,42391
5,13,H1,A1,H1,R,H1,Y,11/17/2018,13:19:36,50539
5,14,K1,K1,B1,L,K1,Y,11/17/2018,13:19:11,20527
5,15,B1,B1,K1,L,B1,Y,11/17/2018,13:19:36,29153
5,16,I1,I1,B1,L,I1,Y,11/17/2018,13:19:11,20392
5,17,G1,D1,G1,L,D1,N,11/17/2018,13:19:36,61959
5,18,A1,A1,K1,L,A1,Y,11/17/2018,13:19:11,12644
5,19,F1,F1,C1,L,F1,Y,11/17/2018,13:19:36,25121
5,20,I1,A1,I1,R,I1,Y,11/17/2018,13:19:36,51277
5,21,G1,G1,K1,L,G1,Y,11/17/2018,13:19:11,30522
5,22,A1,I1,A1,R,A1,Y,11/17/2018,13:19:36,30166
5,23,D1,K1,D1,R,D1,Y,11/17/2018,13:19:11,35614
5,24,K1,K1,F1,L,K1,Y,11/17/2018,13:19:36,46718
5,25,B1,B1,C1,L,B1,Y,11/17/2018,13:19:11,43022
5,26,C1,C1,I1,L,C1,Y,11/17/2018,13:19:36,48829
5,27,H1,D1,H1,R,H1,Y,11/17/2018,13:19:11,30973
5,28,E1,B1,E1,R,E1,Y,11/17/2018,13:19:36,21645
5,29,F1,K1,F1,R,F1,Y,11/17/2018,13:19:11,32476
5,30,E1,E1,I1,L,E1,Y,11/17/2018,13:19:11,16839
5,31,G1,G1,E1,L,G1,Y,11/17/2018,13:19:36,125192
5,32,C1,C1,A1,L,C1,Y,11/17/2018,13:19:11,27121
5,33,F1,G1,F1,R,F1,Y,11/17/2018,13:19:36,51710
5,34,K1,K1,A1,L,K1,Y,11/17/2018,13:19:11,41053
5,35,D1,F1,D1,R,D1,Y,11/17/2018,13:19:36,55255
5,36,A1,A1,H1,L,A1,Y,11/17/2018,13:19:11,32854
5,37,H1,H1,C1,L,H1,Y,11/17/2018,13:19:36,67822
5,38,I1,I1,C1,L,I1,Y,11/17/2018,13:19:11,29973
5,39,B1,D1,B1,R,B1,Y,11/17/2018,13:19:36,135202
6,0,apple,banana,apple,R,apple,Y,11/19/2018,14:13:02,1716
6,1,artichoke,artichoke,onion,R,onion,N,11/19/2018,14:12:58,9474
6,2,onion,onion,artichoke,R,artichoke,N,11/19/2018,14:13:02,2045
6,3,apple,apple,banana,R,banana,N,11/19/2018,14:12:58,7874
6,4,artichoke,onion,artichoke,L,onion,N,11/19/2018,14:13:02,1553
6,5,onion,artichoke,onion,R,onion,Y,11/19/2018,14:12:58,19492
6,0,B1,B1,I1,R,I1,N,11/19/2018,14:13:02,3847
6,1,I1,E1,I1,R,I1,Y,11/19/2018,14:12:58,37767
6,2,C1,A1,C1,R,C1,Y,11/19/2018,14:13:02,2313
6,3,G1,K1,G1,L,K1,N,11/19/2018,14:12:58,7537
6,4,A1,D1,A1,L,D1,N,11/19/2018,14:13:02,2120
6,5,D1,K1,D1,R,D1,Y,11/19/2018,14:12:58,23828
6,6,K1,F1,K1,R,K1,Y,11/19/2018,14:13:02,48039
6,7,E1,A1,E1,R,E1,Y,11/19/2018,14:12:58,36252
6,8,F1,F1,G1,L,F1,Y,11/19/2018,14:13:02,9923
6,9,H1,H1,D1,R,D1,N,11/19/2018,14:12:58,42133
6,10,F1,C1,F1,L,C1,N,11/19/2018,14:12:58,37225
6,11,H1,A1,H1,L,A1,N,11/19/2018,14:13:02,47680
6,12,K1,K1,B1,L,K1,Y,11/19/2018,14:12:58,7666
6,13,E1,B1,E1,R,E1,Y,11/19/2018,14:13:02,26830
6,14,A1,I1,A1,L,I1,N,11/19/2018,14:12:58,17179
6,15,G1,G1,C1,R,C1,N,11/19/2018,14:13:02,8493
6,16,B1,B1,D1,R,D1,N,11/19/2018,14:12:58,36582
6,17,I1,C1,I1,R,I1,Y,11/19/2018,14:13:02,1898
6,18,C1,C1,E1,R,E1,N,11/19/2018,14:12:58,19148
6,19,D1,D1,F1,R,F1,N,11/19/2018,14:13:02,15275
